1, 2000000000, 3.14162334, 214.25
2, 2000000000, 3.141644806, 104.614711128
3, 2000000000, 3.141615642, 72.139432588
4, 2000000000, 3.14160604, 59.524546847
2, 2000000000, 3.141644806, 106.543512243
4, 2000000000, 3.14160604, 54.841119374
8, 2000000000, 3.141599034, 27.79649954
16, 2000000000, 3.141531084, 25.770218833
6, 2000000000, 0.0, 0.27442983
6, 2000000000, 0.52358334, 0.677818649
6, 14, 1.7142857142857142, 0.248302418
6, 14, 1.7142857142857142, 0.24463865399999996
6, 15, 1.6, 0.23813274699999998
6, 12, 2.0, 0.30615562500000004
6, 16, 1.5, 0.795668139
6, 14, 1.7142857142857142, 0.669190128
6, 13, 1.8461538461538463, 0.703538048
6, 32, 2.375, 0.6601337890000001
6, 20, 2.6, 0.696739864
6, 20, 2.6, 0.695028601
6, 18, 2.6666666666666665, 0.6864515449999999
6, 53, 2.2641509433962264, 0.6829409639999999
6, 24, 2.5, 0.672215417
6, 30, 2.4, 0.658944188
6, 22, 2.5454545454545454, 0.657489143
6, 32, 2.375, 0.663490251
6, 20, 2.6, 0.647382912
6, 24, 2.5, 0.639573944
6, 26, 2.4615384615384617, 0.706457737
6, 20, 2.6, 0.6627366539999999
6, 36, 2.3333333333333335, 0.6531754359999999
6, 46, 2.260869565217391, 0.6811410259999999
6, 36, 2.3333333333333335, 0.717032168
6, 38, 2.3157894736842106, 5.051652016
6, 26, 2.4615384615384617, 5.132286427
6, 1000000000, 3.14153518, 3.754524863
1, 1000000000, 3.1415947, 10.965798329
2, 1000000000, 3.141653328, 8.424343493
4, 1000000000, 3.141626024, 5.297349679
6, 1000000000, 3.141617596, 3.737414369
8, 1000000000, 3.14158486, 3.032267695
